Tweets,Following,Followers,Likes,Lists, ,un
"7,630","1,431",276K,14,2,,JasonInTheHouse
"2,747","1,647",25.7K,296,3,,RepMikeCoffman
724,223,"6,369",148,,,RepGuthrie
"3,049",457,20.3K,587,8,,GreggHarper
293,237,12.8K,3,,,Rep_Hunter
"5,423","4,600",21.3K,81,3,,RepLynnJenkins
"1,505",326,11.1K,109,,,RepLanceNJ7
"1,478",251,"6,297",433,,,RepBlainePress
289,,12.1K,,,,RepMcClintock
"5,458","2,090","7,763",449,5,,RepPeteOlson
"4,387","2,941",17K,39,,,RepErikPaulsen
"1,227",931,16.4K,10,2,,CongBillPosey
"2,567",280,13.7K,163,,,DrPhilRoe
283,186,"1,895",105,,,RepRooney
"5,987","2,901",16K,57,1,,CongressmanGT
